1400	3168	8
5594	6101	18
2178	5343	2
3583	1599	22
9306	8026	0
105	6794	12
105	2822	4
273	8765	7
1448	1140	4
101	1888	6
7404	9671	5
101	6659	9
135	2197	11
744	6568	16
17911	933	3
106	7812	2
21	3086	18
622	987	5
6746	167	3
14	2622	18
5687	1108	5
3529	4984	22
114	518	5
211	8811	17
6342	2766	17
101	8836	1
5394	9491	25
101	8076	29
460	4403	10
435	3176	19
141	7421	2
582	710	8
101	7008	3
22860	227	14
118	8684	19
4432	3698	2
4137	2399	6
7260	2306	18
115	3146	4
394	8073	22
101	6340	9
5897	2017	3
1161	8002	18
889	4224	0
24634	6288	10
139	2043	9
139	2836	14
788	3863	0
244	2431	14
174	6132	8
363	5543	0
7	4681	6
21	6958	6
13684	2812	18
103	2311	15
7964	8353	36
944	9737	7
433	9417	1
239	2441	12
110	4031	1
2	9676	10
105	2660	26
105	160	3
108	2834	22
162	5916	11
17039	1869	6
139	6035	9
110	4472	4
3805	1306	7
5087	3322	12
135	7668	9
660	8959	24
123	5913	20
14	2745	16
105	6569	4
102	9164	3
2654	1155	21
118	1742	0
14982	5001	13
10577	8503	3
203	9285	15
3207	3236	6
101	1889	18
299	8245	24
110	2322	9
106	9101	10
24316	167	23
1243	5425	10
200	2283	7
155	7516	23
12	6095	25
6980	4298	22
1543	3559	0
1001	8386	16
142	7198	6
25018	303	4
111	599	10
101	4962	14
119	7175	11
23291	9294	20
110	3448	1
3999	4166	14
5252	8647	7
116	5792	27
214	3630	1
1271	7362	10
6173	7918	11
12252	7329	8
3297	3927	18
156	5875	24
2856	6622	2
469	5765	0
101	5539	28
20811	4246	22
119	1957	22
1860	1904	7
9773	5250	9
23671	6891	17
102	2894	5
9553	8389	15
2166	4501	6
12	1256	11
113	4089	7
119	4675	22
115	8930	8
837	6992	22
25137	5659	11
3512	7060	3
2229	6496	2
131	7371	16
862	3924	24
166	388	4
2272	9973	3
111	1525	18
268	5640	15
544	2785	9
14	7668	10
363	3588	9
494	1666	20
130	5669	21
193	6185	33
467	8391	12
3473	2543	2
465	6158	30
1085	8326	5
19818	9491	7
103	1282	4
152	9051	4
595	1797	9
2542	7755	2
105	9738	2
6697	562	3
21265	2615	4
10328	9484	12
1935	24	2
104	2276	8
101	9411	5
22919	7537	19
623	5755	3
123	8254	9
105	522	13
2714	5146	7
603	7307	7
122	4184	8
128	9437	4
139	4855	5
322	2251	1
101	8361	13
5554	9823	18
2515	2493	27
376	8796	3
1827	8953	13
4566	4998	0
327	1642	3
102	8772	17
1905	3566	8
24689	1359	8
3728	4989	35
106	1666	21
195	10000	8
107	3285	28
101	3818	25
106	8386	24
543	1115	10
113	2515	13
108	4151	9
14	4664	5
109	9780	12
101	9732	5
6718	5810	9
240	5768	1
1046	2484	7
106	4964	21
103	1413	6
133	3118	8
269	9069	22
101	327	25
2036	6028	6
104	1578	2
263	4729	15
109	2995	9
106	5196	26
109	4382	4
635	328	0
1438	972	0
207	2608	0
2717	3153	24
1766	7791	8
122	1013	13
2095	8417	9
8247	5170	0
3134	2821	0
4522	7381	8
9	5508	22
182	1768	2
2217	9916	9
108	9564	23
111	2206	6
4533	3326	13
11294	2433	14
218	423	26
12	5381	12
132	5102	1
22239	1102	1
523	9699	2
7513	3363	1
2022	2666	7
279	1535	2
395	9577	21
452	4746	19
105	4741	20
112	6590	4
133	2343	10
2465	9057	1
1085	4642	13
603	682	15
119	4486	19
663	9365	26
108	7516	29
185	8962	2
24880	986	10
357	7660	38
125	7290	10
6852	3148	5
1003	8538	13
110	1170	5
104	8429	13
101	2027	5
18993	5906	0
426	4406	0
1801	5411	0
527	2116	1
116	1868	8
176	4990	22
1	6253	3
2137	910	28
134	9969	33
305	7112	2
105	6565	5
109	1151	6
126	3902	17
786	1117	5
638	9565	9
19701	3312	12
103	3204	26
168	7694	10
106	5544	18
10011	7274	3
1837	8333	27
328	3043	7
162	3962	7
266	7970	27
106	527	4
690	1127	10
3537	4304	8
12	1038	6
1109	7526	28
101	4072	28
1369	553	3
173	1753	31
3673	2084	1
645	2121	21
372	7164	1
114	9093	31
7821	8958	4
434	2211	4
116	6988	13
212	4161	19
118	798	34
104	8896	1
121	5092	17
103	7524	8
228	217	31
103	8585	8
2686	2345	6
924	3153	37
6576	9013	9
111	4027	28
105	5315	4
172	9341	16
105	4877	6
105	1359	12
21978	1080	15
109	2904	17
166	1153	7
104	5800	14
112	7609	2
477	2127	5
104	1729	26
3380	2094	14
338	72	28
1327	5761	4
468	5007	16
105	293	4
118	2759	10
21074	6124	12
113	6583	12
114	8395	25
2159	6795	19
650	2148	6
244	7416	1
12	2542	17
1799	5377	0
13	9494	5
102	4591	9
108	6910	5
102	5379	23
187	552	27
20006	4646	12
2605	4419	40
12	8291	7
496	3653	0
108	8959	27
1578	7640	1
13749	2877	3
1878	6497	27
13608	6646	4
1709	7843	6
